,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
502,Q8K003,Q8K003,TMA7_MOUSE,Tma7,Translation machinery-associated protein 7,1,142899.0,124707.0,82540.3,103860.0
503,Q8K019;Q8K019-2;Q8K019-3,Q8K019;A0A087WQA0;A0A087WRN1;F8WI22;Q8K019-2;Q8K019-3,BCLF1-2_MOUSE;BCLF1-3_MOUSE;BCLF1_MOUSE,Bclaf1,Bcl-2-associated transcription factor 1,1,96863.4,111302.0,0.0,97284.8
504,Q8K0T0,Q8K0T0,RTN1_MOUSE,Rtn1,Reticulon-1,6,174336.0,176374.0,56332.7,140411.0
505,Q8K0U4,Q8K0U4;A0A494B917;A0A494BAN0,HS12A_MOUSE,Hspa12a,Heat shock 70 kDa protein 12A,5,183560.0,168014.0,112058.0,103189.0
506,Q8K126,Q8K126,RF1M_MOUSE,Mtrf1,"Peptide chain release factor 1, mitochondrial",1,61133.4,65482.6,0.0,60279.8
507,Q8K194,Q8K194;Q8K194-2,SNR27_MOUSE,Snrnp27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,2,271663.0,195618.0,180960.0,197166.0
508,Q8K1M6;Q8K1M6-2;Q8K1M6-3,Q8K1M6;A0A2U3TZ67;E9PUD2;Q8K1M6-2;Q8K1M6-3;Q8K1M6-4;Q8K1M6-5,DNM1L-2_MOUSE;DNM1L-3_MOUSE;DNM1L_MOUSE,Dnm1l,Dynamin-1-like protein,6,218295.0,317756.0,63248.5,206708.0
509,Q8K2C9,Q8K2C9,HACD3_MOUSE,Hacd3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,1,207568.0,179070.0,98977.7,100661.0
510,Q8K2K6;Q8K2K6-1;Q8K2K6-2;Q8K2K6-3,Q80WC7;Q8K2K6;A0A087WNV1;A0A087WR52;A0A087WRL1;A0A087WSR7;Q3TBU7;Q3U2K8;Q80WC7-2;Q8K2K6-1;Q8K2K6-2;Q8K2K6-3,AGFG1-1_MOUSE;AGFG1-2_MOUSE;AGFG1-3_MOUSE;AGFG1_MOUSE,Agfg1,Arf-GAP domain and FG repeat-containing protein 1,8,898160.0,1602260.0,213018.0,1203040.0
511,Q8K310,Q8K310;A0A494B9X1;A0A494BAD4;A0A494BAL7;A0A494BAZ7,MATR3_MOUSE,Matr3,Matrin-3,26,2072510.0,2470430.0,171460.0,1759570.0
512,Q8K386,P55258;P61027;P61028;P62821;Q8K386;Q9D1G1;Q9DD03;A0A494B945;A0A494BA38;A0A494BBL7;Q3TYH2;Q5SW86;Q5SW87;Q5SW88,RAB15_MOUSE,Rab15,Ras-related protein Rab-15,1,279533.0,165585.0,145761.0,205166.0
513,Q8K3Z9,Q8K3Z9,PO121_MOUSE,Pom121,Nuclear envelope pore membrane protein POM 121,1,0.0,167388.0,0.0,173264.0
514,Q8K4L4,Q8K4L4,POF1B_MOUSE,Pof1b,Protein POF1B,2,167005.0,219860.0,297556.0,436770.0
515,Q8K4P0,Q8K4P0,WDR33_MOUSE,Wdr33,pre-mRNA 3' end processing protein WDR33,4,128713.0,125966.0,0.0,77208.2
516,Q8K4Z5,Q8K4Z5,SF3A1_MOUSE,Sf3a1,Splicing factor 3A subunit 1,8,411059.0,419025.0,138932.0,486913.0
517,Q8QZT1,Q8QZT1,THIL_MOUSE,Acat1,"Acetyl-CoA acetyltransferase, mitochondrial",8,1549630.0,531096.0,343142.0,986654.0
518,Q8R001;Q8R001-2,Q8R001;D3YYK8;E9Q6X0;Q8R001-2,MARE2-2_MOUSE;MARE2_MOUSE,Mapre2,Microtubule-associated protein RP/EB family member 2,1,292284.0,272237.0,164840.0,131065.0
519,Q8R016,Q8R016,BLMH_MOUSE,Blmh,Bleomycin hydrolase,1,104041.0,85894.8,83846.4,137917.0
520,Q8R050;Q8R050-2,Q149F3;Q8R050;Q8R050-2,ERF3A-2_MOUSE;ERF3A_MOUSE,Gspt1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,1,73128.6,46104.7,0.0,51214.4
521,Q8R081,Q8R081;G5E924,HNRPL_MOUSE,Hnrnpl,Heterogeneous nuclear ribonucleoprotein L,11,521653.0,424825.0,0.0,536217.0
522,Q8R0F5,Q8R0F5,RBMX2_MOUSE,Rbmx2,"RNA-binding motif protein, X-linked 2",2,51282.6,0.0,46300.4,42788.0
523,Q8R0S2;Q8R0S2-2,Q8R0S2;A0A1D5RM83;E9PUA3;Q8R0S2-2,IQEC1-2_MOUSE;IQEC1_MOUSE,Iqsec1,IQ motif and SEC7 domain-containing protein 1,13,497498.0,896383.0,168374.0,376989.0
524,Q8R0S4;Q8R0S4-1;Q8R0S4-2,Q8CC27;Q8R0S4;Q8R3Z5;A0A0A6YWX5;A0A0R4J194;A2A542;A2A543;A2A545;C7IVS7;J3QK20;Q8CC27-2;Q8CC27-3;Q8CC27-4;Q8R0S4-1;Q8R0S4-2;Q8R3Z5-2;Q8R3Z5-3;Q8R3Z5-4,CACB4-1_MOUSE;CACB4-2_MOUSE;CACB4_MOUSE,Cacnb4,Voltage-dependent L-type calcium channel subunit beta-4,1,53330.9,23053.2,0.0,54937.4
525,Q8R149;Q8R149-2,Q8R149;Q8R149-2,BUD13-2_MOUSE;BUD13_MOUSE,Bud13,BUD13 homolog,2,154632.0,162568.0,0.0,229931.0
526,Q8R191,Q8R191,SNG3_MOUSE,Syngr3,Synaptogyrin-3,2,428832.0,375506.0,215798.0,401549.0
527,Q8R1B5,Q8R1B5;A0A1L1SRL3,CPLX3_MOUSE,Cplx3,Complexin-3,4,192594.0,421737.0,0.0,116986.0
528,Q8R326;Q8R326-2,Q8R326;F7D909;Q8R326-2,PSPC1-2_MOUSE;PSPC1_MOUSE,Pspc1,Paraspeckle component 1,15,1326140.0,1805970.0,220110.0,1624820.0
529,Q8R4X3,Q8R4X3;F6YJB6;V9GXJ1,RBM12_MOUSE,Rbm12,RNA-binding protein 12,16,1133400.0,1073060.0,150229.0,1337410.0
530,Q8VD12,Q8VD12;A0A2R8VHX5;Q8VD12-2,Z385A_MOUSE,Znf385a,Zinc finger protein 385A,10,1352720.0,1465660.0,0.0,1377180.0
531,Q8VD37;Q8VD37-3;Q8VD37-4;Q8VD37-6;Q8VD37-8,Q8VD37;Q8VD37-3;Q8VD37-4;Q8VD37-6;Q8VD37-8,SGIP1-3_MOUSE;SGIP1-4_MOUSE;SGIP1-6_MOUSE;SGIP1-8_MOUSE;SGIP1_MOUSE,Sgip1,SH3-containing GRB2-like protein 3-interacting protein 1,1,68192.8,111266.0,0.0,123999.0
532,Q8VDM6;Q8VDM6-2,Q8VDM6;Q8VDM6-2;Q8VDM6-3,HNRL1-2_MOUSE;HNRL1_MOUSE,Hnrnpul1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,6,132860.0,147910.0,0.0,155247.0
533,Q8VDN2,Q8VDN2,AT1A1_MOUSE,Atp1a1,Sodium/potassium-transporting ATPase subunit alpha-1,12,1008900.0,779565.0,580705.0,472448.0
534,Q8VDP4,Q8VDP4,CCAR2_MOUSE,Ccar2,Cell cycle and apoptosis regulator protein 2,27,1589000.0,2037840.0,209963.0,1704000.0
535,Q8VDP6,Q8VDP6;A0A0U1RNI6;A0A0U1RP13;A0A0U1RP60;A0A0U1RPV3;A0A0U1RQ57,CDIPT_MOUSE,Cdipt,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1,271703.0,147129.0,130367.0,97844.6
536,Q8VE97,Q3TWW8;Q8VE97;Q542V3,SRSF4_MOUSE,Srsf4,Serine/arginine-rich splicing factor 4,4,706137.0,616965.0,505817.0,741390.0
537,Q8VEK3;Q8VEK3-2,Q8VEK3;Q8VEK3-2,HNRPU-2_MOUSE;HNRPU_MOUSE,Hnrnpu,Heterogeneous nuclear ribonucleoprotein U,14,949245.0,1351040.0,202313.0,971534.0
538,Q8VEM8,Q8VEM8;G5E902,MPCP_MOUSE,Slc25a3,"Phosphate carrier protein, mitochondrial",4,661260.0,503104.0,477353.0,439393.0
539,Q8VH51;Q8VH51-2,Q8VH51;B7ZD61;E9Q8F0;F7AA45;Q8VH51-2;Q8VH51-3,RBM39-2_MOUSE;RBM39_MOUSE,Rbm39,RNA-binding protein 39,12,1617970.0,1438820.0,1600850.0,1435300.0
540,Q8VHD8,Q8VHD8;E9QNP3;F8WJ23,HORN_MOUSE,Hrnr,Hornerin,3,0.0,0.0,187948.0,0.0
541,Q8VHH5;Q8VHH5-2,Q8VHH5;A0A1D5RMG4;F8VQE9;Q8VHH5-2,AGAP3-2_MOUSE;AGAP3_MOUSE,Agap3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",1,32180.4,94280.0,0.0,0.0
542,Q8VIJ6,Q8VIJ6,SFPQ_MOUSE,Sfpq,"Splicing factor, proline- and glutamine-rich",25,7497130.0,9477820.0,1257470.0,7914430.0
543,Q91V09,Q91V09;A2AC24,WDR13_MOUSE,Wdr13,WD repeat-containing protein 13,1,107648.0,0.0,0.0,0.0
544,Q91V14;Q91V14-2,Q91V14;A0A076FR46;Q91V14-2,S12A5-2_MOUSE;S12A5_MOUSE,Slc12a5,Solute carrier family 12 member 5,9,429745.0,325929.0,128033.0,116872.0
545,Q91V61;Q91V61-2,Q91V61;A0A494BB84;Q3U4F0;Q91V61-2,SFXN3-2_MOUSE;SFXN3_MOUSE,Sfxn3,Sideroflexin-3,6,609083.0,483183.0,348629.0,417534.0
546,Q91VB8,P01942;Q91VB8,Q91VB8_MOUSE,Hba-a1,"Isoform of P01942, GLOBIN domain-containing protein",1,0.0,0.0,50059.2,0.0
547,Q91VD9,Q91VD9,NDUS1_MOUSE,Ndufs1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",2,48922.1,83965.2,92434.1,110227.0
548,Q91VR2,Q91VR2;A2AKU9;A2AKV1;A2AKV2;A2AKV3;Q8C2Q8,ATPG_MOUSE,Atp5f1c,"ATP synthase subunit gamma, mitochondrial",5,316805.0,157202.0,99349.5,85008.8
549,Q91W39,Q91W39;B7ZC24,NCOA5_MOUSE,Ncoa5,Nuclear receptor coactivator 5,1,0.0,68484.6,0.0,0.0
550,Q91WE2,Q91WE2;A0A1D5RLU2;A0A1D5RLW0;A0A1D5RLX7;A0A1D5RLY1,PIP30_MOUSE,Psme3ip1,PSME3-interacting protein,1,0.0,0.0,0.0,45626.5
551,Q91WJ8;Q91WJ8-2,Q91WJ8;A0A0G2JFK2;A0A0G2JFY5;A0A0G2JG00;A0A0G2JGW9;Q3TUE1;Q3UUU2;Q91WJ8-2,FUBP1-2_MOUSE;FUBP1_MOUSE,Fubp1,Far upstream element-binding protein 1,17,2205560.0,2572130.0,260596.0,2532120.0
552,Q91WM1;Q91WM1-2,Q91WM1;Q91WM1-2,STRBP-2_MOUSE;STRBP_MOUSE,Strbp,Spermatid perinuclear RNA-binding protein,16,1093740.0,965950.0,164439.0,969764.0
553,Q91X72,Q91X72,HEMO_MOUSE,Hpx,Hemopexin,3,90200.7,78771.4,96603.8,94450.0
554,Q91XM9;Q91XM9-2;Q91XM9-3;Q91XM9-4;Q91XM9-6;Q91XM9-7;Q91XM9-8,Q811D0;Q91XM9;A0A338P6J0;A0A571BEK3;A0A571BEZ4;D3YUZ8;D3Z3B8;E9Q2L2;E9Q9H0;H7BWY4;Q811D0-2;Q811D0-3;Q91XM9-2;Q91XM9-3;Q91XM9-4;Q91XM9-5;Q91XM9-6;Q91XM9-7;Q91XM9-8;S4R2T8,DLG2-2_MOUSE;DLG2-3_MOUSE;DLG2-4_MOUSE;DLG2-6_MOUSE;DLG2-7_MOUSE;DLG2-8_MOUSE;DLG2_MOUSE,Dlg2,Disks large homolog 2,2,183146.0,324757.0,0.0,109199.0
555,Q91XU0,Q91XU0;Q91XU0-2,WRIP1_MOUSE,Wrnip1,ATPase WRNIP1,8,290558.0,309374.0,0.0,294481.0
556,Q91YM2,Q91YM2,RHG35_MOUSE,Arhgap35,Rho GTPase-activating protein 35,2,0.0,81412.7,0.0,49414.1
557,Q91Z31;Q91Z31-2,Q91Z31;Q91Z31-2,PTBP2-2_MOUSE;PTBP2_MOUSE,Ptbp2,Polypyrimidine tract-binding protein 2,7,1030400.0,872222.0,194238.0,1121870.0
558,Q91ZA3,Q91ZA3,PCCA_MOUSE,Pcca,"Propionyl-CoA carboxylase alpha chain, mitochondrial",54,228238000.0,191428000.0,290615000.0,192248000.0
559,Q91ZZ3,Q91ZZ3,SYUB_MOUSE,Sncb,Beta-synuclein,4,2274440.0,6364350.0,1153320.0,5674140.0
560,Q920I9,Q920I9;A0A494B9P4;Q8C711;Q920I9-2,WDR7_MOUSE,Wdr7,WD repeat-containing protein 7,13,361015.0,276488.0,180764.0,156402.0
561,Q920N2,Q920N2;A0A2I3BPG4;Q3TG10,BPL1_MOUSE,Hlcs,Biotin--protein ligase,10,183582.0,263829.0,286375.0,168012.0
562,Q920Q4;Q920Q4-2,Q920Q4;G3X8X7;Q920Q4-2,VPS16-2_MOUSE;VPS16_MOUSE,Vps16,Vacuolar protein sorting-associated protein 16 homolog,1,856561.0,844531.0,1399960.0,2058360.0
563,Q921I1,Q921I1;D3YYR8;E9Q2Q7;E9Q939,TRFE_MOUSE,Tf,Serotransferrin,9,444655.0,407433.0,442594.0,403585.0
564,Q921L3,Q921L3;A0A0A6YVS2,TMCO1_MOUSE,Tmco1,Calcium load-activated calcium channel,1,311532.0,267508.0,247700.0,301810.0
565,Q921W0,Q921W0,CHM1A_MOUSE,Chmp1a,Charged multivesicular body protein 1a,1,355739.0,286957.0,299240.0,331816.0
566,Q921X6,Q921X6;Q9CZ23,RPC6_MOUSE,Polr3f,DNA-directed RNA polymerase III subunit RPC6,2,176876.0,214683.0,0.0,225967.0
567,Q922U1,Q922U1,PRPF3_MOUSE,Prpf3,U4/U6 small nuclear ribonucleoprotein Prp3,8,271147.0,268649.0,0.0,281512.0
568,Q923D5,Q923D5,WBP11_MOUSE,Wbp11,WW domain-binding protein 11,2,22258.0,54251.7,0.0,74846.2
569,Q923T9;Q923T9-2;Q923T9-3,Q923T9;A0A2I3BQP6;Q923T9-2;Q923T9-3,KCC2G-2_MOUSE;KCC2G-3_MOUSE;KCC2G_MOUSE,Camk2g,Calcium/calmodulin-dependent protein kinase type II subunit gamma,6,357074.0,532132.0,103812.0,230660.0
570,Q924A2;Q924A2-2,Q924A2;E9QP01;Q924A2-2,CIC-2_MOUSE;CIC_MOUSE,Cic,Protein capicua homolog,1,0.0,85829.8,0.0,0.0
571,Q99104,Q99104;D3YZ62;D3Z4J3,MYO5A_MOUSE,Myo5a,Unconventional myosin-Va,7,178981.0,288736.0,56235.6,118482.0
572,Q99JF8;Q99JF8-2,Q99JF8;A2BI12;Q99JF8-2,PSIP1-2_MOUSE;PSIP1_MOUSE,Psip1,PC4 and SFRS1-interacting protein,3,79493.4,118785.0,95235.3,113788.0
573,Q99K48,Q99K48;Q99K48-2,NONO_MOUSE,Nono,Non-POU domain-containing octamer-binding protein,18,2739160.0,2730040.0,367836.0,2620200.0
574,Q99KG3;Q99KG3-2;Q99KG3-3,Q91YE7;Q99KG3;Q91YE7-2;Q99KG3-2;Q99KG3-3;S4R273,RBM10-2_MOUSE;RBM10-3_MOUSE;RBM10_MOUSE,Rbm10,RNA-binding protein 10,12,396849.0,432947.0,0.0,523798.0
575,Q99KI0,Q99KI0,ACON_MOUSE,Aco2,"Aconitate hydratase, mitochondrial",13,466055.0,450214.0,535849.0,351018.0
576,Q99LX5,Q99LX5,MMTA2_MOUSE,Mmtag2,Multiple myeloma tumor-associated protein 2 homolog,3,253764.0,201347.0,297721.0,421618.0
577,Q99M28;Q99M28-2,Q99M28;Q99M28-2,RNPS1-2_MOUSE;RNPS1_MOUSE,Rnps1,RNA-binding protein with serine-rich domain 1,2,218083.0,150471.0,117464.0,201934.0
578,Q99MN9,Q99MN9;E9Q1J7,PCCB_MOUSE,Pccb,"Propionyl-CoA carboxylase beta chain, mitochondrial",28,11625300.0,11475100.0,14421600.0,8747860.0
579,Q99MR8,Q99MR8;A0A0G2JF64,MCCA_MOUSE,Mccc1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",51,88226400.0,83359700.0,123478000.0,68222500.0
580,Q99MU3;Q99MU3-5,Q99MU3;Q99MU3-2;Q99MU3-3;Q99MU3-4;Q99MU3-5,DSRAD-5_MOUSE;DSRAD_MOUSE,Adar,Double-stranded RNA-specific adenosine deaminase,10,265652.0,260014.0,0.0,326684.0
581,Q99NB9,Q99NB9;G5E866,SF3B1_MOUSE,Sf3b1,Splicing factor 3B subunit 1,13,650077.0,631245.0,0.0,722364.0
582,Q99NE5-7,Q99NE5;A0A087WSA4;F6TZK4;F6VBR4;F6VBT9;F6VBV0;F6Y0S3;Q99NE5-3;Q99NE5-4;Q99NE5-5;Q99NE5-6;Q99NE5-7,RIMS1-7_MOUSE,Rims1,"Isoform of Q99NE5, Isoform 7 of Regulating synaptic membrane exocytosis protein 1",5,186665.0,284865.0,0.0,99371.3
583,Q99NE5;Q99NE5-3;Q99NE5-4;Q99NE5-5;Q99NE5-6,Q99NE5;A0A087WSA4;F6TZK4;F6VBR4;F6VBT9;F6VBV0;F6Y0S3;Q7TPL9;Q99NE5-3;Q99NE5-4;Q99NE5-5;Q99NE5-6,RIMS1-3_MOUSE;RIMS1-4_MOUSE;RIMS1-5_MOUSE;RIMS1-6_MOUSE;RIMS1_MOUSE,Rims1,Regulating synaptic membrane exocytosis protein 1,2,27158.5,59281.9,0.0,0.0
584,Q99P72;Q99P72-3,Q99P72;Q99P72-3,RTN4-3_MOUSE;RTN4_MOUSE,Rtn4,Reticulon-4,6,435967.0,519397.0,155498.0,326796.0
585,Q9CPN9,Q9CPN9,Q9CPN9_MOUSE,2210010C04Rik,Peptidase S1 domain-containing protein,1,9417790.0,12773700.0,9000760.0,11555400.0
586,Q9CPR4,Q9CPR4;Q6ZWZ7,RL17_MOUSE,Rpl17,60S ribosomal protein L17,3,371729.0,297615.0,328370.0,533072.0
587,Q9CPW7,Q9CPW7,ZMAT2_MOUSE,Zmat2,Zinc finger matrin-type protein 2,2,0.0,0.0,0.0,86897.1
588,Q9CQF3,Q9CQF3,CPSF5_MOUSE,Nudt21,Cleavage and polyadenylation specificity factor subunit 5,11,1434530.0,1539900.0,357076.0,1399740.0
589,Q9CR62,Q9CR62;Q5SX46,M2OM_MOUSE,Slc25a11,Mitochondrial 2-oxoglutarate/malate carrier protein,3,283772.0,164182.0,155326.0,0.0
590,Q9CSN1,Q9CSN1;A0A0B4J1E2,SNW1_MOUSE,Snw1,SNW domain-containing protein 1,1,88383.9,0.0,0.0,151828.0
591,Q9CT10,Q9CT10;A0A3B2WCL5,RANB3_MOUSE,Ranbp3,Ran-binding protein 3,2,138562.0,106117.0,0.0,130686.0
592,Q9CW46,Q9CW46;A0A1L1SRY4,RAVR1_MOUSE,Raver1,Ribonucleoprotein PTB-binding 1,12,534257.0,558215.0,342186.0,791393.0
593,Q9CWF2,Q7TMM9;Q9CWF2,TBB2B_MOUSE,Tubb2b,Tubulin beta-2B chain,5,5203240.0,4278530.0,4616540.0,3398230.0
594,Q9CWU4,Q9CWU4;D6RCI4,CA052_MOUSE,MGI:1913671,UPF0690 protein C1orf52 homolog,1,83480.6,115478.0,0.0,87273.9
595,Q9CX86,Q9CX86,ROA0_MOUSE,Hnrnpa0,Heterogeneous nuclear ribonucleoprotein A0,6,400573.0,492602.0,224933.0,642807.0
596,Q9CXG3,Q9CXG3,PPIL4_MOUSE,Ppil4,Peptidyl-prolyl cis-trans isomerase-like 4,2,128953.0,130264.0,125517.0,134803.0
597,Q9CXK9,Q9CXK9;D3Z5I9;F6RNF9,RBM33_MOUSE,Rbm33,RNA-binding protein 33,2,138501.0,210648.0,0.0,160446.0
598,Q9CXW4,Q9CXW4,RL11_MOUSE,Rpl11,60S ribosomal protein L11,2,186661.0,147836.0,214250.0,0.0
599,Q9CY27,Q9CY27;A0A1D5RLH3;A0A5F8MPU6;A0A5F8MQC8;G3UWE1;Q52L67,TECR_MOUSE,Tecr,Very-long-chain enoyl-CoA reductase,1,43077.8,0.0,0.0,0.0
600,Q9CY58;Q9CY58-2;Q9CY58-3;Q9CY58-4,Q9CY58;A0A0N4SUN8;A0A0N4SUQ1;A0A0N4SV32;A0A0N4SWH2;Q3UMP4;Q9CY58-2;Q9CY58-3;Q9CY58-4,PAIRB-2_MOUSE;PAIRB-3_MOUSE;PAIRB-4_MOUSE;PAIRB_MOUSE,Serbp1,Plasminogen activator inhibitor 1 RNA-binding protein,2,52739.7,41314.9,0.0,54382.7
601,Q9CYA6,Q9CYA6,ZCHC8_MOUSE,Zcchc8,Zinc finger CCHC domain-containing protein 8,1,43397.1,97948.8,0.0,91516.1
602,Q9CZM2,Q9CZM2;B8JKK2,RL15_MOUSE,Rpl15,60S ribosomal protein L15,1,216091.0,100498.0,162742.0,232144.0
603,Q9CZT8,Q9CZT8;A2A7Z6,RAB3B_MOUSE,Rab3b,Ras-related protein Rab-3B,1,145780.0,83229.4,93027.8,0.0
604,Q9CZU6,Q80X68;Q9CZU6,CISY_MOUSE,Cs,"Citrate synthase, mitochondrial",3,228227.0,182346.0,215179.0,188236.0
605,Q9D051,Q9D051,ODPB_MOUSE,Pdhb,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",2,53211.3,58094.5,41958.2,0.0
606,Q9D067;Q9D067-2;Q9D067-3;Q9D067-4,Q9D067;A0A1W2P6V6;B2RPU6;E9PW14;E9Q0B1;Q9D067-2;Q9D067-3;Q9D067-4,MDM1-2_MOUSE;MDM1-3_MOUSE;MDM1-4_MOUSE;MDM1_MOUSE,Mdm1,Nuclear protein MDM1,1,221712.0,153773.0,147271.0,0.0
607,Q9D0E1;Q9D0E1-2,Q9D0E1;A0A3Q4EH91;B8JK32;B8JK33;Q9D0E1-2,HNRPM-2_MOUSE;HNRPM_MOUSE,Hnrnpm,Heterogeneous nuclear ribonucleoprotein M,48,5830490.0,7384040.0,892142.0,5703660.0
608,Q9D0L8;Q9D0L8-3,Q9D0L8;Q9D0L8-3,MCES-3_MOUSE;MCES_MOUSE,Rnmt,mRNA cap guanine-N7 methyltransferase,1,92805.5,105345.0,0.0,100910.0
609,Q9D0M5,P63168;Q80ZS7;Q9D0M5,DYL2_MOUSE,Dynll2,"Dynein light chain 2, cytoplasmic",2,139497.0,256135.0,0.0,125066.0
610,Q9D394;Q9D394-2;Q9D394-3;Q9D394-4,Q9D394;A0A0G2JFT8;Q9D394-2;Q9D394-3;Q9D394-4,RUFY3-2_MOUSE;RUFY3-3_MOUSE;RUFY3-4_MOUSE;RUFY3_MOUSE,Rufy3,Protein RUFY3,2,286953.0,229446.0,0.0,175311.0
611,Q9D415;Q9D415-2;Q9D415-3;Q9D415-4,Q9D415;D3Z709;Q9D415-2;Q9D415-3;Q9D415-4;Q9D415-5;Q9D415-6,DLGP1-2_MOUSE;DLGP1-3_MOUSE;DLGP1-4_MOUSE;DLGP1_MOUSE,Dlgap1,Disks large-associated protein 1,3,170460.0,272294.0,0.0,114136.0
612,Q9D6F9,Q9D6F9,TBB4A_MOUSE,Tubb4a,Tubulin beta-4A chain,5,2526850.0,1535980.0,1757370.0,1040500.0
613,Q9D6M3,Q9D6M3;A0A0J9YTY6;A0A0J9YVJ3;E9PV90;E9PY45;E9Q579;E9Q6M6;Q80X52;V9GWS2,GHC1_MOUSE,Slc25a22,Mitochondrial glutamate carrier 1,6,1033170.0,599390.0,705462.0,694751.0
614,Q9D735,Q9D735,TRIR_MOUSE,Trir,Telomerase RNA component interacting RNase,1,36037.8,69586.0,0.0,22570.9
615,Q9D824;Q9D824-2;Q9D824-3,Q9D824;D3Z3F1;Q9D824-2;Q9D824-3;Q9D824-4,FIP1-2_MOUSE;FIP1-3_MOUSE;FIP1_MOUSE,Fip1l1,Pre-mRNA 3'-end-processing factor FIP1,4,269606.0,254362.0,0.0,259819.0
616,Q9D883,Q9D883,U2AF1_MOUSE,U2af1,Splicing factor U2AF 35 kDa subunit,2,732781.0,678385.0,636528.0,899362.0
617,Q9D8E6,Q9D8E6,RL4_MOUSE,Rpl4,60S ribosomal protein L4,1,0.0,38960.6,0.0,56831.2
618,Q9D8Y0,Q9D8Y0;Q8C845,EFHD2_MOUSE,Efhd2,EF-hand domain-containing protein D2,3,149820.0,214762.0,0.0,158837.0
619,Q9DAJ4,Q9DAJ4;D6RGR4,WDR83_MOUSE,Wdr83,WD repeat domain-containing protein 83,2,176132.0,101979.0,0.0,166607.0
620,Q9DAJ4-2;Q9DAJ4-3,D6RGR4;Q9DAJ4-2;Q9DAJ4-3,WDR83-2_MOUSE;WDR83-3_MOUSE,Wdr83,"Isoform of Q9DAJ4, Isoform 2 of WD repeat domain-containing protein 83",1,0.0,260500.0,783018.0,352436.0
621,Q9DBC3,Q9DBC3;A0A3Q4EHZ1,CMTR1_MOUSE,Cmtr1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,23,798327.0,740976.0,121820.0,872216.0
622,Q9DBM1,Q9DBM1;D6RET6,GPTC1_MOUSE,Gpatch1,G patch domain-containing protein 1,4,242006.0,296649.0,0.0,248877.0
623,Q9DBP5,Q9DBP5;A0A0R4J093,KCY_MOUSE,Cmpk1,UMP-CMP kinase,1,148488.0,139153.0,39200.8,0.0
624,Q9DBR0,Q9DBR0,AKAP8_MOUSE,Akap8,A-kinase anchor protein 8,13,510533.0,543357.0,96269.7,497514.0
625,Q9DBR1;Q9DBR1-2,Q9DBR1;Q9DBR1-2,XRN2-2_MOUSE;XRN2_MOUSE,Xrn2,5'-3' exoribonuclease 2,1,49502.2,99570.8,0.0,57606.3
626,Q9DC07,Q9DC07,LNEBL_MOUSE,Nebl,"Isoform of Q0II04, LIM zinc-binding domain-containing Nebulette",3,101177.0,194746.0,0.0,167273.0
627,Q9DCD2,Q9DCD2,SYF1_MOUSE,Xab2,Pre-mRNA-splicing factor SYF1,19,1094120.0,959973.0,86802.8,1134100.0
628,Q9DCT8,Q9DCT8,CRIP2_MOUSE,Crip2,Cysteine-rich protein 2,1,51011.9,59111.3,0.0,93440.7
629,Q9EPJ9;Q9EPJ9-2,Q9EPJ9;Q3TGS9;Q9EPJ9-2;V9GWV1;V9GXM1,ARFG1-2_MOUSE;ARFG1_MOUSE,Arfgap1,ADP-ribosylation factor GTPase-activating protein 1,2,0.0,78761.9,0.0,42716.2
630,Q9EPU0;Q9EPU0-2,Q9EPU0;Q9EPU0-2,RENT1-2_MOUSE;RENT1_MOUSE,Upf1,Regulator of nonsense transcripts 1,18,592827.0,744394.0,0.0,651180.0
631,Q9EPU4,Q9EPU4;A0A2R8VK76,CPSF1_MOUSE,Cpsf1,Cleavage and polyadenylation specificity factor subunit 1,5,62361.6,73417.3,0.0,82471.1
632,Q9EQU5;Q9EQU5-2,Q9EQU5;A2BE93;Q9EQU5-2,SET-2_MOUSE;SET_MOUSE,Set,Protein SET,1,0.0,79757.0,0.0,0.0
633,Q9ERD7,Q922F4;Q9ERD7,TBB3_MOUSE,Tubb3,Tubulin beta-3 chain,10,16235800.0,9498760.0,10491900.0,6394990.0
634,Q9ES97;Q9ES97-2,Q9ES97;Q9ES97-2,RTN3-2_MOUSE;RTN3_MOUSE,Rtn3,Reticulon-3,12,289959.0,380668.0,151698.0,281352.0
635,Q9EST1,Q9EST1,GSDMA_MOUSE,Gsdma,Gasdermin-A,2,178639.0,182743.0,185453.0,307886.0
636,Q9ESX4;Q9ESX4-2,Q9ESX4;Q9ESX4-2,NO40-2_MOUSE;NO40_MOUSE,Zcchc17,Nucleolar protein of 40 kDa,4,307691.0,379323.0,500125.0,428255.0
